Facility Type,Station,Detail
Drinking water,Tai Po Market Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Tai Wai Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Admiralty Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Chai Wan Station,Station Concourse Exit D (Unpaid Area)
Drinking water,North Point Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Admiralty Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Prince Edward Station,Station Concourse Exit A (Unpaid Area)
Drinking water,Diamond Hill Station,Station Concourse Exit A2 (Unpaid Area)
Drinking water,Choi Hung Station,Station Concourse Exit A1 (Unpaid Area)
Drinking water,Tiu Keng Leng Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Admiralty Station,Station Concourse Exit B (Unpaid Area)
Drinking water,South Horizons Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Tung Chung Station,Station Concourse Exit D (Unpaid Area)
Drinking water,Tsing Yi Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Hang Hau Station,Station Concourse Exit A (Unpaid Area)
Drinking water,Tiu Keng Leng Station,Station Concourse Exit B (Unpaid Area)
Drinking water,North Point Station,Station Concourse Exit B (Unpaid Area)
Drinking water,Tai Shui Hang Station,Station Concourse Exit A (Unpaid Area)
Drinking water,Tai Wai Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Diamond Hill Station,Station Concourse Exit A2 (Unpaid Area)
Drinking water,To Kwa Wan Station,Station Concourse Exit A (Unpaid Area)
Drinking water,East Tsim Sha Tsui Station,Station Concourse Exit P1 (Unpaid Area)
Drinking water,Austin Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Tin Shui Wai Station,Station Concourse Exit E3 (Unpaid Area)
Drinking water,Tsuen Wan Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Kwai Fong Station,Station Concourse Exit C (Unpaid Area)
Drinking water,Prince Edward Station,Station Concourse Exit A (Unpaid Area)
Drinking water,Admiralty Station,Station Concourse Exit B (Unpaid Area)
Babycare Rooms,Yau Tong,Station Concourse (Paid Area)
Babycare Rooms,Tiu Keng Leng,Station Concourse (Paid Area)
Babycare Rooms,Lai King,Station Concourse (Paid Area)
Babycare Rooms,Central,Station Concourse on L2 Exit A (Paid Area)
Babycare Rooms,Hin Keng,Station Concourse (Paid Area)
Babycare Rooms,Kai Tak,Station Concourse Exit C (Paid Area)
Babycare Rooms,Diamond Hill,Station Concourse of Tuen Ma Line (Paid Area)
Babycare Rooms,Yau Ma Tei,Station Concourse Exit C (Paid Area)
Babycare Rooms,North Point,Station Concourse Exit B (Paid Area)
Babycare Rooms,To Kwa Wan,Station Concourse Exit B (Paid Area)
Babycare Rooms,Sung Wong Toi,Station Concourse Exit D (Paid Area)
Babycare Rooms,Exhibition Centre,Station Concourse Exit B (Paid Area)
Babycare Rooms,Admiralty,Station Concourse Exit F (Paid Area)
Babycare Rooms,Tsim Sha Tsui,Station Concourse Exit E (Unpaid Area)
Digital Service Kiosk,Lam Tin,Exit B
Digital Service Kiosk,Kwun Tong,Exit B
Digital Service Kiosk,Ngau Tau Kok,Exit A
Digital Service Kiosk,Kowloon Bay,Exit C
Digital Service Kiosk,Choi Hung,Exit C
Digital Service Kiosk,Diamond Hill,Exit A
Digital Service Kiosk,Wong Tai Sin,Exit E
Digital Service Kiosk,Lok Fu,Concourse
Digital Service Kiosk,Kowloon Tong,Exit B
Digital Service Kiosk,Shek Kip Mei,Opposite of Exit A
Digital Service Kiosk,Yau Ma Tei,Exit D
Digital Service Kiosk,Ho Man Tin,Exit A
Digital Service Kiosk,Whampoa,"- Exit B
- Exit C"
Digital Service Kiosk,Tsuen Wan Line,Nearest Exit
Digital Service Kiosk,Tsuen Wan,Exit A
Digital Service Kiosk,Lai King,Concourse
Digital Service Kiosk,Mei Foo,Exit A
Digital Service Kiosk,Lai Chi Kok,Exit A
Digital Service Kiosk,Cheung Sha Wan,Exit C
Digital Service Kiosk,Sham Shui Po,Exit C
Digital Service Kiosk,Prince Edward,Concourse
Digital Service Kiosk,Mong Kok,Exit E
Digital Service Kiosk,Jordan,Exit C
Digital Service Kiosk,Tsim Sha Tsui,Exit C
Digital Service Kiosk,Island Line,Nearest Exit
Digital Service Kiosk,Kennedy Town,Exit C
Digital Service Kiosk,HKU,Near Exit B
Digital Service Kiosk,Sai Ying Pun,Near Exit A
Digital Service Kiosk,Sheung Wan,Concourse (Centre)
Digital Service Kiosk,Central,Exit A
Digital Service Kiosk,Admiralty,Exit D
Digital Service Kiosk,Wan Chai,Concourse
Digital Service Kiosk,Causeway Bay,Exit A
Digital Service Kiosk,Tin Hau,Exit B
Digital Service Kiosk,Fortress Hill,Exit B
Digital Service Kiosk,North Point,Exit A
Digital Service Kiosk,Quarry Bay,Exit C
Digital Service Kiosk,Tai Koo ,Exit D
Digital Service Kiosk,Sai Wan Ho,Exit A
Digital Service Kiosk,Shau Kei Wan,Between Exit B & C
Digital Service Kiosk,Heng Fa Chuen,Exit A
Digital Service Kiosk,Chai Wan,Concourse
Digital Service Kiosk,South Island Line,Nearest Exit
Digital Service Kiosk,Admiralty,Exit D
Digital Service Kiosk,Ocean Park,Exit B
Digital Service Kiosk,Wong Chuk Hang,Exit A
Digital Service Kiosk,Lei Tung,Exit A
Digital Service Kiosk,South Horizons,Exit C
Digital Service Kiosk,Tseung Kwan O Line,Nearest Exit
Digital Service Kiosk,Po Lam,Exit B
Digital Service Kiosk,Hang Hau,Exit B
Digital Service Kiosk,LOHAS Park,Exit C
Digital Service Kiosk,Tseung Kwan O,Exit B2
Digital Service Kiosk,Tiu Keng Leng,Exit A
Digital Service Kiosk,Yau Tong,Middle of Concourse
Digital Service Kiosk,Tung Chung Line,Nearest Exit
Digital Service Kiosk,Hong Kong,Tung Chung Line Concourse L3 (Near Exit F)
Digital Service Kiosk,Kowloon,Concourse
Digital Service Kiosk,Olympic,Near Exit C & D
Digital Service Kiosk,Nam Cheong,Exit A
Digital Service Kiosk,Tsing Yi,Concourse
Digital Service Kiosk,East Rail Line,Nearest Exit
Digital Service Kiosk,Admiralty,Exit D
Digital Service Kiosk,Exhibition Centre,Exit A
Digital Service Kiosk,Hung Hom,Exit C
Digital Service Kiosk,Mong Kok East,Exit D
Digital Service Kiosk,Tai Wai,Exit A
Digital Service Kiosk,Sha Tin,Exit A1
